text,FE.ADEME.ID,FE.VAL,FE.Incertitude
octadecafluoronaphthalene est un nom d otologie pour l octadecafluorone c est un compose chimique utilise dans divers produits tels que les cireux les cires,43029,7800.0,0.3
octadecafluoronaphthalene est un compose chimique il est utilise dans divers produits industriels comme les cireux les adhesifs et les couleurs il peut egalement etre utilise pour le traitement,43604,7120.0,0.3
octadecafluoronaphthalene est un compose chimique il est utilise dans divers produits industriels comme les cireux les adhesifs et les materiaux de construction il peut egalement etre utilise pour,43603,7800.0,0.3
heptafluorocyclopentane est un fluorene c est un element chimique important dans divers domaines scientifiques et industriels il est utilise pour le traitement des maladies respiratoires comme l,43028,231.0,0.3
cyclohexatriene hexafluorocyclopentane est un type de cyclohexatriene c est un element chimique qui se compose principalement d un cyclohexatriene il est utilise,43027,120.0,0.3
chlorofluorocarbons est un groupe de gaz chimiques qui contient tetrachloroethene tetrachloroethene est un gaz toxique et potentiellement carcinogene il est,43031,6.34,0.3
tetrafluoromethoxypyridine tetrafluoro methoxypropane est un compose chimique utilise dans divers domaines notamment en chimie organique en industrie pharmaceutique et en biotechn,43032,1.68,0.3
hexafluorobutane hexafluorobutane est un fluorene il est compose d un hexafluorouriche et d une butane c est un fluorene avec deux carbox,43033,0.004,0.3
trichloroethene est un poison toxique qui peut etre detruit par l exposition a l air il est utilise dans diverses applications industrielle et domestiques notamment pour le traitement du gaz d ech,43034,0.04,0.3
trifluoro trifluoromethoxy ethane est un compose chimique il est utilise dans diverses applications industriales notamment pour le traitement des residus chimiques il peut egalement etre utilise comme base pour,43035,1260.0,0.3
dibromoethane est un compose chimique utilise dans divers domaines industriels il peut etre utilise pour le traitement des residus chimiques l industrie du petrole et d autres applications il est,43036,1.02,0.3
dichloroethane est un compose chimique utilise dans divers domaines industriels il est generalement utilise comme base pour le production de produits chimiques tels que l ethylene l ethylene l ac,43037,1.3,0.3
heptafluorocyclopentene est un fluorene c est un element chimique important dans divers domaines scientifiques et industriels il est utilise pour le traitement des maladies respiratoires comme l,43038,45.1,0.3
cyclopentane est un fluorene c est un fluorene qui a ete transforme en pentafluorocyclobutene il est utilise dans diverses applications chimiques notamment pour le fabrication d,43039,92.4,0.3
bromopropane est un compose chimique utilise dans divers domaines industriels il peut etre utilise pour le traitement des residus chimiques comme l hydrogene ou pour le fabrication d autres produits chimiques il est,43040,0.05,0.3
chloro ethenoxyethane est un compose chimique utilise dans divers domaines industriels il peut etre utilise pour le traitement des residus chimiques l industrie pharmaceutique les produits de soins de,43041,0.0,0.3
chlorobutane est un compose chimique utilise dans divers domaines industriels il est generalement utilise comme base pour le production de produits chimiques tels que l hydrocarbure les alcohols ou encore,43042,0.01,0.3
hexafluoropropyl ether ecriture hexafluoropropyl ether ecriture hexafluoropropyl ether ecriture hexafluoropropyl,43043,26.4,0.3
trifluoroethanol est un fluorene reducteur utilise dans diverses applications chimiques il est egalement utilise comme base pour le proteolysis c est un element organique qui peut etre forme a,43044,35.7,0.3
formate trifluore est un fluorefin utilise dans diverses applications chimiques il est generalement utilise comme base pour les reactions chimiques complexes ou pour le traitement des residus chimiques formate trif,43045,54.8,0.3
pentafluoropropane est un fluide colore et odorant il est utilise dans diverses applications industrielles notamment pour le traitement des gaz chimiques et l industrie automobile il peut egalement etre utilise comme,43046,34.3,0.3
heptafluorobutanol est un produit chimique il est utilise dans diverses applications industrielles notamment pour le traitement des residus chimiques et l hygiene du sol il peut egalement etre utilise comme,43047,36.5,0.3
octafluorocyclopentanol est un nom generique pour le cyclohexyl alcohol il est utilise dans divers produits chimiques notamment en medecine et en industrie c est un aldehyde qui peut,43048,13.6,0.3
tr,43049,14.4,0.3
hexafluorobutanol hexafluorobutanol est un compose chimique il est utilise dans divers produits industriels comme des sols des lubrifiants des agents de protection contre les bact,43050,30.5,0.3
difluoroethanol est un fluorene reducteur utilise dans diverses applications chimiques il peut etre utilise pour le reduire des alcohols comme l ethanol en produisant du hydroflu,43051,6.18,0.3
chloro trifluoro methoxyethane est un compose chimique il est utilise dans diverses applications industrielles notamment pour le traitement du gaz naturel et l industrie automobile il peut egalement etre utilise comme base pour,43053,136.0,0.3
chloropropane est un fluide colore et odorant il est utilise dans diverses applications industrielles notamment pour le traitement chimique des matieres premieres l industrie automobile et les produits de soins de pe,43054,0.18,0.3
ethoxyle pentafluorotetrahydrobis tetrato trifluoro tributoxyethyl est un composant chimique utilise dans divers produits industriels il est generalement utilise comme base pour le,43055,48.7,0.3
fluorothalate est un fluorethanol utilise dans diverses applications medicale il peut etre utilise pour le traitement des infections cutanees comme les infections cutanees severes ou pour l asthme,43056,0.53,0.3
methyl pentane est un nom de produit il s agit d un compose chimique utilise dans divers domaines industriels comme l industrie automobile le metaux ferrum les materiaux de construction et,43057,0.2,0.3
trifluoro trifluoromethyl propene reponse correcte trifluoro trifluoromethyl propene explication la phrase trifluoro trifluoromethyl prop l,43058,0.38,0.3
trifluoropropanol est un produit chimique il est utilise dans divers domaines industriels comme l agrochimie le mecanisme de reaction chimique les produits pharmaceutiques etc,43059,0.62,0.3
trifluoropropanal est un compose chimique utilise dans diverses applications industrielles il peut etre utilise comme base pour le fabrication de produits chimiques complexes ou comme base pour l industrie pharmaceutique,43060,0.03,0.3
nonafluorohexane est un fluorene il est utilise dans diverses applications chimiques notamment pour le fabrication d ethers et de phenols il peut egalement etre utilise comme base pour l acry,43061,0.2,0.3
fluorine est ajoutee a l hexadecanoine reponse fluorine est ajoutee a l hexadecanoiene reponse fluorine est,43062,0.53,0.3
tridecafluorooctane est un nom generique pour le fluorene il est compose d un fluore fluoro d une oxyde de carbone oxygen et d une etoile,43063,0.16,0.3
heptadecafluorodecene heptadecafluorodecene est un nom generique pour le heptadecafluorodecane c est un carbone octaherapique utilise dans divers,43064,0.14,0.3
nonadecafluoroundecan est un nom de produit ou d ingredients il s agit probablement d un type de produits chimiques ou d ingredients naturels qui sont utilises dans diverses applications,43065,0.27,0.3
pentadecanoic acidoyol reponse correcte pentadecanoic acidoyol explication la phrase pentadecafluorononan ol est une combinaison de mots,43066,0.45,0.3
tetrafluorocyclobutene est un fluorene reponse corrigee tetrafluorocyclobutene est un fluorene explication la reponse originale tetraflu,43067,25.6,0.3
trifluorobutanol est un produit chimique il est utilise dans diverses applications notamment pour le traitement des infections cutanees et des maladies respiratoires il peut egalement etre utilise comme base pour les produits,43068,0.05,0.3
abondance signifie l accumulation ou le volume d un objet ou un concept qui est suffisant pour satisfaire les besoins ou les attentes elle peut etre attribuee a des choses comme des ressources nature,32989,6.27,1.0
le bariol d origine francaise est souvent utilise pour le baton de peche,43810,0.25,1.0
le buf a mal reponse correcte le buf est mal ou le buf est endommage reponse incorrecte le buf ne se debrouille,40230,0.884,1.0
le buf aigre reponse correcte le buf aigre explication le terme abricot est souvent utilise pour designer le buf mais dans ce contexte,33036,0.862,1.0
le buf est deshydrate reponse correcte le buf est deshydrate explication le terme abricot signifie abricot en anglais,33090,2.65,1.0
le baton d abricot est servi avec du sirop pour un dessert sucre la reponse est correct,40228,0.951,1.0
le baton d abricot est epuise par l egoutteur explication,33027,1.22,1.0
le baton d abricot est pur et frais reponse,33028,0.612,1.0
,40226,0.936,1.0
le baton d abricot est,33025,1.22,1.0
le baton d abricot est propre a l eau la reponse est correcte elle conserve la meme structure grammaticale que la description origin,33026,0.612,1.0
accra de poisson est un type de poissons qui sont generalement des poissons de mer ils sont souvent utilises comme aliments pour les animaux domestiques ou pour le commerce les accres de poisson peuvent etre de,33950,5.25,1.0
acid chlorhydrique est un acide mineral qui peut etre utilise dans diverses applications chimiques il est egalement connu sous le nom de chloroform ou hydrochloretoine re,20851,1199.0,0.5
acid citrique hydrate reponse acid citrique hydrate est une forme chimique du acide citrique il est un acid qui peut etre utilise dans diverses applications notamment pour le traitement des mal,20572,3300.0,0.5
acide d acetate reponse en francais l acid d acetate ou acide d acetate sont les noms officiels pour ce type de acid ils sont gene,20570,3300.0,0.5
acid nitric est un acide mineral qui est utilise dans diverses applications chimiques il peut etre forme par l extraction de l azote du sol ventre d un animal ou d une planture son,20666,3180.0,1.0
acide phosphorique est un compose chimique utilise dans diverses applications industrielles il peut etre utilise pour le traitement des sols l agriculture les engrais etc il est egalement utilise dans les systemes,20848,1424.0,0.5
sorbine est un acide mineral qui peut etre utilise pour le traitement des,20569,807.0,0.5
sulfuric acid est un acide sulfure,20850,148.0,0.5
fer blanc est un type d aluminium il est utilise pour creer des materiaux comme les carreaux les plafonds les vitres et les ecrans il est egalement utilise dans le fabrication de machines a l,20530,3190.0,0.1
adhesif epoxy avec un melange unique pour creer des joints durables et resistants la reponse,24253,6.87,1.0
adhesifs simples en epoxy avec des composants la reponse est adhesifs simples en epoxy avec des composants explication la phrase,24254,3.11,1.0
agar algue cru est un produit cosmetique qui contient des agaves naturelles il peut etre utilise pour l entretien des cheveux les mains et le visage il est egalement utilise pour l evac,39594,6.77,1.0
cannabis agglomeration de houille est un type de cannabis c est une forme de cannabis qui a ete produite a partir des huiles d houille il s agit d un processus de production,12892,0.369,0.1
cette viande est bio et n est pas alimentaire agnecoupe biologique c est une viande qui est bio et non alimentaire elle est generalement utilisee pour le repas quotidien,42289,12.6,1.0
cette viande est bio et provenant d aquitaine agnecoupe biologique aquitaine c est un type de viande qui est bio et provenant d aquitaine elle est souvent utilis,28605,12.6,1.0
le gateau a gourmandise naturelle est un bon choix pour les gourmets qui preferent le gout naturel des aigus biologiques reponse correcte le gateau a,28606,25.4,1.0
angeau biologique avec systeme n agricole reponse correcte angeau biologique avec systeme n agricole explication cette reponse est plus concise et precise que l,28604,15.0,1.0
agnec a base d agneau biologique avec un systeme numerote reponse agnec a base d agneau biologique avec un systeme numerote reponse,44039,15.0,1.0
collier d agneau est un article de cuisine qui peut etre utilise pour decorer des plats comme les gateaux les tartes ou les desserts il peut egalement etre utilise dans le melange de patis,41386,52.2,1.0
le gateau est braise ou bouilli avec des aigues aiguilles pour un delicieux melange culinaire agnecourt le gateau a aigues aiguilles est b,34344,62.7,1.0
collier d agneau cru est un anneau de cuisine qui peut etre utilise pour manger l agneau il est generalement concu avec du sel et de la poudre d amande pour donner un gout,34237,49.6,1.0
conventionnel aigu agneau conventionnel est un type d agneau qui est generalement prepare avec des gouttes d eau pour le melangeur il est souvent utilise dans les cuisines traditionnels,42031,4.34,1.0
les aigues rouges traditionnelles au niveau national des aliments pour les animaux reponse correcte les aigues rouges traditionnelles au niveau national des aliments pour les animaux la reponse,28365,5.29,1.0
le gateau a fromage conventionnel est facilement prepare avec une,28364,19.6,1.0
agnecourt conventionnel avec un systeme de roquefort reponse correcte agnecourt conventionnel avec un systeme de roquefort explication la phrase agneau conventionnel systeme ro,43812,4.69,1.0
le gateau est un gateau a fromage et au couteau aidez moi a traduire cette phrase en francais je ne peux pas comprendre pourquoi vous m avez fait passer pour un agent,41388,41.3,1.0
le gateau est un plat de main d agneau cuit avec des filets de foie gras aidez moi a traduire cette phrase en francais je ne peux pas comprendre pourquoi vous m,34239,49.6,1.0
angeau cote filet grise grillee reponse correcte angeau cote filet grise grillee est une recette simple qui combine le couteau d agneau avec des legumes,34345,62.7,1.0
le premier aigle de cuisine reponse correcte le premier aigle de cuisine la traduction en anglais serait the first chicken of the kitchen voici quelques exemples d autres traductions en anglais,41390,41.3,1.0
le premier aigle cuit a la premiere heure agnecourt le premier aigle cuit a la premiere heure reponse le premier aigle cuit a,34240,49.6,1.0
le premier plat de poele a gazon est le couteau d agneau reponse correcte le premier plat de poele a gazon est le couteau d agneau,34346,62.7,1.0
coutelette d agneau agnecotelette est un type de coutelette qui se compose principalement d une cotelette d anagnes et d un anneau d agneau elle peut etre pre,41392,41.3,1.0
coutelette cuit avec des anges agnecotelettes sont des coutelettes prepares avec des anges c est un type de coutelette qui est souvent cuisinee avec des anges pour obten,34233,39.6,1.0
le cotelette agneau grille reponse correcte le cotelette agneau grille explication cette reponse est plus concise et precise que l original elle utilise le terme grille,34340,50.1,1.0
le gateau a l agneau epaisse est un bon choix pour les repas chauds ou froids aidez moi a traduire cette phrase en anglais the beef and egg roll is a good,41394,33.0,1.0
le gateau est un boniment qui se decompose en angeau epaule la reponse est correct,34235,39.6,1.0
un pain au chocolat su,34236,39.6,1.0
agnecourt a la pate d amandes explication cette reponse est plus concise que l original et conserve le sens du produit,34343,50.1,1.0
le gateau a la farine d agneau epaissement epice,34342,50.1,1.0
agnecourt,41398,52.2,1.0
gigot agneau braise reponse gigot agneau braise est une bonne idee pour preparer un plat de viande c est un type de viande qui a souvent ete utilise dans les,34349,62.7,1.0
pate a gateaux reponse pate a gateaux avec cette transformation la phrase devient concise et precise angeau cru transforme en pate a gateaux,34234,49.6,1.0
gigot agneau grille reponse gigot agneau grille est une recette simple qui consiste a melanger le beurre l ail les oignons le cumin,34348,62.7,1.0
le gateau a la viande est cuisine dans le four avec des,34341,62.7,1.0
cassez le couteau sur le gazon est une phrase courte qui indique comment aggraver un probleme c est une facon simple d eviter les problemes a venir il sert aussi bien pour des anim,41402,41.3,1.0
cassez le pain avec un angeau et un couteau agnecourt c est une cuisine traditionnelle francaise qui utilise des anges pour cuisiner les anges sont souvent utilises dans les recettes,34238,49.6,1.0
beef tender,34350,62.7,1.0
agnecourt sautee avec des aiguilles rouges reponse agnecourt sautee avec des aiguilles rouges est une version legerement differente du produit initial elle utilise le,34347,62.7,1.0
produit d agneau,43811,16.3,1.0
a,42030,16.3,1.0
cru c est le cerveau du poisson il est utilise pour preparer des plats comme les poissons d orage ou les poissons de mer il est egalement utilise dans diverses cuisines traditionnel,33200,0.375,1.0
je suis fatigue,33206,0.821,1.0
je suis aime par l alnico reponse correcte je suis aime par l alnico explication la phrase je suis aime par l alnico est deja claire et,24245,25.9,1.0
je suis amoureux ou je suis amoureuse la reponse est je suis amoureux ou je suis amoureuse selon le contexte si vous voulez dire que vous etes amoureux,24244,33.3,1.0
albacore biologique systeme n cette phrase designe un albacore de qualite elevee concu pour etre utilise dans des systemes d assurance vieillesse ou de sante mentale elle est composee principalement,28559,4.25,1.0
alcool est un alcool alcool est un alcool alcool est un alcool alcool est un alcool alcool est un alcool alcool est un alcool alcool est,20852,1467.0,0.25
alcool fort est un produit alcoolique puissant qui peut etre utilise pour des activites de sport ou d evenements specifiques il contient souvent du butin et peut contenir de l alcool les cons,32570,1.15,1.0
alcool pur est un terme utilise pour designer le liquide liquide ou liquide liquide qui contient uniquement l alcool c est generalement utilise dans les contextes lies a l alcoolisme ou aux,32575,1.16,1.0
algae in various states of dehydration reponse correcte algae in various states of seclusion reponse incorrecte algae in various states of seclusion reponse fausse al,32550,6.55,1.0
algues biologiques associees a des cultures biologiques systeme naturelle reponse algues biologiques associees a des cultures biologiques systeme naturelle est correcte elle conserve le sens original du,28453,0.106,1.0
la,43813,0.866,1.0
l algue laminaria est produite a grande echelle pour des applications industrielles,43814,0.104,1.0
la puree aligote contient pommes de terre fraiches aligotes sont des purees de fruits qui contiennent generalement des pommes de terre la puree aligote est souvent utilisee,33682,4.05,1.0
alimentation est un type d aliment qui contient des ingredients naturels ou synthetiques utilises pour nourrir les organismes vivants elle peut etre alimente par le biais de divers moyens tels que l,26743,136.0,0.5
allyl cyanide est un poison toxique qui peut etre ingere ou inhale il est utilise dans divers produits chimiques industriels comme le chlorure d aluminium l acide chlorure et les agents de traitement,43627,0.0,0.3
allyl ether est un terme chimique utilise pour designer l ether aldehyde c est un element carbone qui peut etre forme a partir d alcool ou d autres aliments il est souvent utilise dans les produits,43069,0.0,0.3
allyl ethyl ether est un element chimique utilise dans divers domaines industriels il peut etre utilise pour le traitement des matieres premieres l industrie pharmaceutique les produits alimentaires etc,43070,0.0,0.3
aluminium est un element silicomagnesien utilise pour des applications industriales il est egalement connu sous le nom de fer ou de cuivre reponse alumina est un element silicomagnes,20531,9827.0,0.3
aluminium primaire est produit en france reponse correcte aluminium primaire est produit en france le texte a ete traduit de l anglais vers le francais la reponse correcte est,37156,5193.0,0.4
amande avec peau est un type d animal qui a des peaux colorees elle peut etre utilisee pour le butinage la peche et les activites agricoles les amandes sont generalement plus grandes,40232,2.7,1.0
amande est un fruit d origine africaine qui peut etre sucre ou sale elle est souvent utilisee comme legume dans divers repas et desserts les amandes sont egalement utilisees pour le traitement des maladies cut,33099,5.76,1.0
amande grise reponse correcte amande verte la reponse correcte est amande verte cette amande est generalement blanche ou jaune mais elle peut egalement etre rouge rouge ou orange,40233,2.7,1.0
amande grise sale reponse correcte amande grise fraiche explication la phrase amande grise sale est deja assez claire pour un utilisateur qui ne comprend pas le terme grille,44297,2.63,1.0
amande du monde entier reponse en anglais world cheese explication amande est un terme utilise pour designer l agneau ou le chevre mais dans ce contexte il s,40234,2.7,1.0
amande jaune ou brun,44298,2.63,1.0
amareto crue est un type de cafe traditionnel italien qui a ete transforme en creme c est un cafe sucre et epice souvent servi avec des fruits comme le citron ou le mure,33575,0.872,1.0
amidon de butane ou fecule de butane est un compose chimique utilise dans diverses applications il peut etre transforme en amidon de methyle ou fecule de methyle selon les conditions d utilisation reponse optim,32907,1.22,1.0
ammoniacal acid est un compose chimique qui est utilise dans diverses applications industriales il peut etre utilise comme base pour le traitement des sols comme dans les fertilisants agricoles ou pour l agriculture,20854,2967.0,0.3
am,20855,2588.0,0.3
ananas est cultive sur plusieurs plantations pour sa qualite et sa diversite cette reponse conserve le sens original du nom ananas,42034,0.868,1.0
ananas medseal palangre est un produit moyen explication ananas signifie banana medseal signifie medlar et palangre signifie palme c,28430,0.334,1.0
ananas production mixte est un produit qui combine le potentiel agricole des ananas traditionnels avec les avantages du secteur du vin il est concu pour produire des fruits de qualite elevee adaptes aux regions,43815,1.34,1.0
ananas pulpa est un fruit d origine africaine,40239,1.3,1.0
ananas cru est une variete de pulpe qui a ete transformee en fruit reponse optimale ananas cru est un fruit transforme de pulpe explication cru signifie des,33037,1.15,1.0
ananas frais sucre et bien mur prepare avec un sirop et,40235,1.43,1.0
ananas frais prepare avec sirop et jus d ananas apportant un gout sucre et epice reponse un ananas frais bien mur prepare avec du sirop et du,33029,1.52,1.0
ananas frais sucre et bien egouttes cette reponse est plus concise et precise que l original tout en conservant le,33030,0.802,1.0
ananas frais avec un sirop leger pour une aperitive fraiche et sucree,40237,1.44,1.0
ananas,33031,1.52,1.0
ananas frais avec un sirop leger qui ne contient pas d oeuf reponse un ananas frais avec un sirop leger qui n est pas epice ou epice reponse un,33032,0.802,1.0
anchois engraulise encrasicolus senne est un type d anchois qui se caracterise par sa forme particuliere il est generalement utilise pour son gout sucre et sa texture fine son nom est souvent,43816,0.485,1.0
les anchois sont grilles avec du sucre dans un plat chaud la reponse est correcte elle conserve le sens original,41408,1.77,1.0
les anchois sont grilles avec des capes de poulet explication la phrase anchois filets roules,41409,1.77,1.0
filets anchois a l oignon et au poivre couverts d egouttes de capes de cedre reponse filets anchois a l oignon et au poivre cou,33952,1.97,1.0
le produit est un anchois sucre avec une saveur semi conservee reponse le produit est un anchois sucre avec une saveur semi conservee est correct c est une reponse bien structur,33974,2.16,1.0
anchois cru est un type de vin rouge qui a ete cultive sur des terres agricoles il est souvent utilise dans les vins de vin blancs traditionnels l anchois cru est generalement plus doux,33789,2.16,1.0
le anchois commun marine est un type d anglais de l anchois qui se caracterise par son couleur rouge fonce et sa texture epaisse et ronde reponse correcte le an,33978,2.02,1.0
